Donor ID,Donor City,Donor State,Donor Is Teacher,Donor Zip
00000ce845c00cbf0686c992fc369df4,Evanston,Illinois,No,602
00002783bc5d108510f3f9666c8b1edd,Appomattox,other,No,245
00002d44003ed46b066607c5455a999a,Winton,California,Yes,953
00002eb25d60a09c318efbd0797bffb5,Indianapolis,Indiana,No,462
0000300773fe015f870914b42528541b,Paterson,New Jersey,No,075
00004c31ce07c22148ee37acd0f814b9,,other,No,
00004e32a448b4832e1b993500bf0731,Stamford,Connecticut,No,069
00004fa20a986e60a40262ba53d7edf1,Green Bay,Wisconsin,No,543
00005454366b6b914f9a8290f18f4aed,Argyle,New York,No,128
0000584b8cdaeaa6b3de82be509db839,Valparaiso,Indiana,No,463
00005f52c98eeaf92b2414a352b023a4,Villanova,Pennsylvania,No,190
00006084c3d92d904a22e0a70f5c119a,Brick,New Jersey,Yes,087
00006c6b8c3225a54438f878d59e650a,Wilmington,Delaware,No,198
0000812bd5629117f8909f73acbe8b7d,Pasadena,Texas,No,775
0000889adf4cc958a35daee1f2529b48,Mohegan Lake,New York,No,105
00008eec5aab2228652e22457881f2d0,Old Fort,North Carolina,No,287
0000954e7c49ebfbcd91ed9052070bee,Quincy,Illinois,No,623
0000a1288b8ccdeaaf716a2480d7b06a,,other,No,
0000a2175753bc165e53c408589a3bd6,Grand Rapids,Michigan,No,495
0000a3fd8b8a3d1a90fbb1e0cd44c62b,Lancaster,Pennsylvania,No,176
0000a558c8a53a7e8d66d208a373470e,Fort Washington,Maryland,No,207
0000a9af8b6b9cc9e41f53322a8b8cf1,East Stroudsburg,New York,Yes,183
0000b282b7070b4dd31c05210f82453b,Ocala,Florida,No,344
0000bbd74feb563a324fe441eae19feb,Indianapolis,Indiana,No,462
0000bc074e37420d6280c09abe129966,,New Jersey,No,
0000bc6a51a9c31629d70f290944ba0a,Honolulu,Hawaii,No,968
0000be4b3c81e1cef858d536bb740052,Circle Pines,Minnesota,No,550
0000c14308c4cb9259a4fe51f692c9ef,Brooklyn,New York,No,112
0000c20705a45563f2ec6a53088c2a30,Laurens,South Carolina,No,293
0000c4be79d9f92485829c9e275890b7,Molalla,Oregon,No,970
0000c93962b49ca4cb87e0632a132c2c,Smithville,Mississippi,No,388
0000cce04fec25bf7f21b0e2f1dcf4b6,Lowell,Michigan,No,493
0000d299ce46c8375f29f7bb792b9eae,Louisville,Kentucky,No,402
0000d2c093a6301ef33925c06af2c6d1,,other,No,
0000d4777d14b33a1406dd6c9019fe89,,other,Yes,
0000d72a5299c2fe5a867e31f0b61c46,,other,No,
0000e1b68421441f1bb8e697ecdad119,Raleigh,North Carolina,No,276
0000ee82242add1f15f823c24833359f,,Texas,No,
0000fc11407901bcacdfad1db909b9f6,,other,Yes,
00010615b56ff057fa00b5144fe2e4cf,Los Angeles,California,No,900
000107cdc0ebf5aa274c12837cf16de7,Trinity,Alabama,No,356
0001107b9faa5c3bb42cfcecece1d587,Portland,Oregon,No,972
000110c8c5db5d760b313292dbfb24d1,Tempe,Arizona,No,852
0001159d13601a582dda846f252ec4c1,Warren,Michigan,No,480
00011c48767cf67073b1f3bcc91dc7dc,Cary,North Carolina,No,275
00011e359255acd86be0e56f6b62f1b0,Stuart,Florida,No,349
00012258ed40e698a7c66ba144057392,Ishpeming,Michigan,No,498
000126642ada6832f40fd322b35d8036,Middletown,New York,No,109
00012c73606c2394e5f3c76fbd0a143c,Franklin,Maryland,No,480
00013aca9874e0c2ea6a13a949a41f17,Indianapolis,Indiana,No,462
0001415ef50c0f45d066c97e69489c1f,Houston,Texas,No,770
00014d846426ac502c555c2c28a0ef63,Sioux City,Iowa,No,511
000150db429aff026ecd130b0a076cef,Gilberts,Illinois,No,601
00015a610769900026131aacfdd1bc62,Havana,Florida,No,323
00015a70349de4732f7e113934a30b67,Ponte Vedra Beach,Florida,No,320
0001645e0c9384665108dc2cb38ad1ca,Many,Louisiana,No,714
00016d53aafa42950e88f5996fd69e0a,,North Carolina,No,
00016efa41348375e57a3bc1270114f9,Merchantville,New Jersey,No,081
000177bef7ed7b7d1d0f5741d0b5fab8,Diamond Bar,California,No,917
00017bad30d4b5d991b81b04cb4988b8,Los Gatos,California,No,950
00017ccecdbe0fe4c997bd7846346411,Dayton,Nevada,No,894
000181f354f1cba54f958463835ced41,Fullerton,California,No,928
00019e1dcd80085636a622f27c5b1233,New York,New York,No,100
0001aa9a0443a0bcd6e98619b44ee42d,Bolingbrook,Illinois,No,604
0001abd0c3f256bcdbc75116f2609355,Canyon Country,California,No,913
0001b46c36c7c900cecd5011f7f3e6d6,Chicago,Illinois,No,606
0001bd04bff7f57077f5532c7c73b388,Webster,Texas,No,775
0001bde8e87c867f3d449edfcb47765e,Yorba Linda,California,No,928
0001c6641864a240eff74544a3596acf,Danvers,Pennsylvania,Yes,019
0001d30db838865788098cf241501ea0,Chicago,Illinois,No,606
0001d85b5295f830da61a4acefae8dde,Miami,Florida,No,331
0001daec1f7799df50f1e4e05deb4e66,Myrtle Beach,South Carolina,No,295
0001ef9f64a7e1038e0811766c25e6f8,Ames,Iowa,No,500
0001f63e9437ebbba6ddaae0664037a7,Oklahoma City,Oklahoma,Yes,731
0001f79bb789fa9c83b13ef99f7bbe6e,Ridgewood,Ohio,No,113
0002021bb799f28de224f1acc1ff08c4,Centerville,Massachusetts,No,026
000207b8d3d67c12f7711511f62cf9d4,Evans,Georgia,No,308
000210a2a948e929d8e04897dc921d91,Georgetown,Delaware,No,199
0002128c613edd04baf344ef01e362c9,Vallejo,California,No,945
0002186e790ca5590203a1dc5318915f,Lakewood,Ohio,No,441
000226bf2362b3ea92229b29c2edf737,Saint Louis,Missouri,Yes,631
00022a0f4f0062d861b26fcd96abc68c,Deerfield,Ohio,No,444
000233fb8cbd3fcd20304423156cdf39,Seattle,Washington,Yes,981
0002348747db8f7fcf05be91399c5707,Denver,Colorado,No,802
000238615daaeaf201582eb3e13ab9cd,Lone Tree,Colorado,No,801
0002413480f8e6a120e3927f095f7e59,Walla Walla,Washington,No,993
00024e86676fc2c3b317e0166ffa4768,Ann Arbor,Michigan,No,481
0002555bbe359440d6ceb34b699d3932,Portland,Maine,No,041
000267b5672a90ea8e6d4e485a63d3d6,Newark,Delaware,No,197
00026986208d02b67d03a230228bb405,Stone Mountain,Georgia,No,300
00026a74542793470c245995ab622f96,Baytown,Texas,No,775
00027d3b680199e9350bc20fd2454a02,Old Forge,Pennsylvania,No,185
0002806acba3480d65cec587c1afb1ee,,other,Yes,
000281260e901bdc9ce5ec8b957dd5ad,Greenville,North Carolina,No,278
00028d5d75335732b1c46c54c5c847dd,Loxley,Alabama,No,365
00028e5aea55cf68a3216cd74ecceff1,Lakeville,Massachusetts,No,023
00028fae880618d73d2dcfa3e5bc670b,Moorhead,Minnesota,No,565
0002901d0d091e95801ed750df6720b2,Chicago,Illinois,Yes,606
0002965240b13a26f348742cbae55c0c,Washington,District of Columbia,No,200
00029725138190e59f0536088be7d1db,Medway,Massachusetts,No,020
000297cd8e13cb1e364990075c792e2f,Clifton,New Jersey,No,070
00029c282384a5d15bf2184b0578630e,Oklahoma City,Oklahoma,No,731
0002a1159a1b2a36c51d4e524c4e16f4,Fountaintown,Indiana,No,461
0002a45d0b45a78e9c920beba40bc7fb,Ann Arbor,Michigan,No,481
0002aac1c9addac1d4ee6902d6ec5404,Oxon Hill,Maryland,No,207
0002ac317113dd9faac7fa9d0d1ba2ac,Natick,Massachusetts,No,017
0002af226b13fc8b4310993d6a5d1386,Brooklyn,New York,No,112
0002b4e02d351c8719487ce7c02583a0,Falcon,North Carolina,No,283
0002b674d10ab80873a6665b0e472dce,Sabina,Ohio,No,451
0002bcb9f69cd91cbeae163fc9cd874f,Ponca City,Oklahoma,Yes,746
0002c4d61c342b774712dfc6d53b77f8,Chicago,Illinois,No,606
0002c51ea63953674cb368b994ebaeb7,Lafayette,Louisiana,No,705
0002c6eb1c6987c8a44adb715e11cd95,O Fallon,Illinois,No,622
0002cb56c84b1cba7de9294020eda991,Avon,Connecticut,No,060
0002d6d3b9886f0e360f8d829870f759,,Arizona,No,
0002d777804d485adbcca7aad4ad96c5,Warren,Michigan,Yes,480
0002e30532c02dbc57e35b4bdef3933d,,other,No,
0002e7d0648c093bf75829e52c1ea21a,Helena,Alabama,No,350
0003079fefc25462d7dffdd86e17181a,Chandler,Texas,No,757
00031a7e84cb620d9f78bf1b42ea1d31,Berkeley,California,No,947
00031ee2136eb183079ced8d13e678ef,Lucedale,Mississippi,Yes,394
0003232e650202eb576b93e1e5947c59,Towson,Maryland,No,212
00032349e9b32f61f47abf82fda1f3d1,Sunland,California,No,910
000328171351a6e51177c89f068e61f0,,Georgia,No,
00032a6160b84939c66d364c575fe881,Ronkonkoma,New York,No,117
00033085be55865b54fa35cb46138ee6,Fort Smith,Arkansas,No,729
000335d76fd3532adfe8bacda134b043,Chicago,Illinois,No,606
00036923e5f5786c68551769bfc24b9c,Lynn,Massachusetts,No,019
0003733341da1a9a83b472b92a5e6de8,Pewaukee,Wisconsin,No,530
0003748b6011978a14b4bbb0c0a2f4bd,Sacramento,California,No,958
00037c0f2464ae6b9b122898942f8110,Willington,Connecticut,No,062
00038313e9d8b0d93ab8e6b9d66bac70,Oakley,California,No,945
0003982f3e5d7e11e4dbdc8ab26648be,Seattle,Washington,No,981
00039eb54d35f2104e024d21d9168f67,Ridgewood,New York,No,113
0003aba06ccf49f8c44fc2dd3b582411,,Pennsylvania,No,183
0003b11dff71ce61ee9399fdc3660a1d,Borden,Indiana,No,471
0003b4922837de5939739ca3f3bb7ec0,,New York,No,
0003f5b917fbd5ab4b762235fb8c0978,Copperas Cove,Texas,No,765
0003f6dbeb4660decee100b2308f91ab,Pittsburgh,Pennsylvania,Yes,152
0004022cc26b79c37471e953f521d0dc,Fort Lauderdale,Florida,No,333
00040a049ad9f348f841cc4287cb24a6,Hayward,California,Yes,945
0004113dff833671f531e7f85445d9c7,Tucker,Georgia,No,300
00041b6adb7fa596519eccbd354c89d9,,other,No,
00041fc8b829a81356aa53013410095d,Rio Linda,California,No,956
0004265c44e425d7104e2d0fb8ecd5c9,Chico,California,No,959
0004298ea9ff1bf0dd5a1c154dcd4b36,Los Angeles,California,No,900
00042f7b46b75d493b33e9b0b5c43d87,Portland,Oregon,No,972
00043515876762727a871c9c83ff525f,Columbia,Missouri,No,652
0004416c6745afb13fe63ef0d45f3acb,Grand Blanc,Michigan,Yes,484
000446688c194fc58e22412ff3a696b1,Smyrna,Georgia,No,300
00044968bb11dd7b687915dc48c750f4,Cheyenne,Wyoming,No,820
000453f0866b2875d77f563d1aafb16e,Springfield,Oregon,No,974
00046271d980cfd254dbff50311976b0,Minneapolis,Minnesota,No,554
000468d6e7fee14bfb4f37e6abd14d58,Pawleys Island,South Carolina,No,295
